================================================================================
动销品管理记录 - 2026-01-14
表名: ROA1_DE
记录时间: 2026-01-15 20:01:39
================================================================================

【统计信息】
日期：2026-01-14
前一天上升期：1个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：1个（选定日期Status=1的数量）
差值：1个
非上升期：226个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【新增上升期商品ID】
商品数量: 1个
goods_id: 604251883428774

【上升期商品】
商品数量: 1个

604298591179422 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
604319529155325 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
604320602907605 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
604323824117615 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
604325971638522 - 加入时间: 2025-11-12, Reason: Normal
604329394155064 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
604330266614720 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
604330803438104 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
604346574072866 - 加入时间: 2025-12-07, Reason: None
604347446476371 - 加入时间: 2025-11-24, Reason: None
604350869000367 - 加入时间: 2025-11-27, Reason: None
604354962650684 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
604361942000767 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
604364626349372 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
604366773803030 - 加入时间: 2025-10-30, Reason: Out_of_stock
604367310681100 - 加入时间: 2025-11-01, Reason: Out_of_stock
604371605662553 - 加入时间: 2025-12-01, Reason: None
604373216294439 - 加入时间: 2025-10-28, Reason: Blocked
604397375481637 - 加入时间: 2025-11-24, Reason: Out_of_stock

【计算上升期中有但实际上升期中没有的商品ID】
商品数量: 1个
goods_id: 603484694904179

================================================================================
